,nac,region,sexo,edad,edu,ingreso,esc,region,prof,ing_nivel
507,3,1,1,28,9,550000,12,1,0,1
508,3,1,2,32,9,270000,12,1,0,0
509,1,1,1,41,15,1496000,17,1,1,1
510,1,1,2,48,9,"3,00E+05",12,1,0,0
511,1,1,1,51,11,"6,00E+05",12,1,0,1
512,3,1,2,32,12,425000,13,1,0,0
513,3,1,2,26,9,425000,12,1,0,0
514,3,1,1,24,9,270000,12,1,0,0
515,1,1,1,54,7,"4,00E+05",4,1,0,0
516,1,1,1,52,7,"3,00E+05",8,1,0,0
517,1,1,1,56,7,308519,8,1,0,0
518,1,1,1,28,9,550000,9,1,0,1
519,1,1,1,24,14,"4,00E+05",13,1,0,0
520,1,1,1,20,7,350000,7,1,0,0
521,1,1,2,26,12,276667,15,1,0,0
522,1,1,1,61,14,"8,00E+05",14,1,0,1
523,1,1,2,27,15,450000,17,1,1,0
524,1,1,2,53,11,296730,12,1,0,0
525,1,1,1,48,11,"7,00E+05",12,1,0,1
526,1,1,2,46,11,629167,12,1,0,1
527,1,1,1,35,15,909000,16,1,1,1
528,1,1,2,56,11,619167,12,1,0,1
529,1,1,2,21,12,303848,15,1,0,0
530,1,1,2,39,13,2900000,15,1,0,1
531,1,1,1,33,12,702500,13,1,0,1
532,1,1,1,34,13,584167,15,1,0,1
533,1,1,2,32,15,639167,16,1,1,1
534,1,1,1,34,15,1500000,17,1,1,1
535,1,1,2,82,8,25000,12,1,0,0
536,1,1,1,58,11,512500,13,1,0,0
537,1,1,2,29,15,703888,17,1,1,1
538,1,1,1,27,9,316167,12,1,0,0
539,1,1,1,40,11,740000,12,1,0,1
540,1,1,1,61,8,279167,12,1,0,0
541,1,1,2,64,8,275000,12,1,0,0
542,1,1,1,41,11,"4,00E+05",12,1,0,0
543,1,1,2,36,11,275000,12,1,0,0
544,1,1,1,33,14,160000,16,1,0,0
545,1,1,2,27,14,110000,16,1,0,0
546,1,1,1,40,9,"4,00E+05",11,1,0,0
547,1,1,1,42,11,587917,12,1,0,1
548,1,1,2,32,11,"4,00E+05",12,1,0,0
549,1,1,2,26,11,342652,12,1,0,0
550,3,1,1,40,11,450000,12,1,0,0
551,3,1,2,35,11,60000,12,1,0,0
552,1,1,1,47,11,"5,00E+05",12,1,0,0
553,1,1,1,67,8,"4,00E+05",7,1,0,0
554,1,1,2,69,6,"4,00E+05",6,1,0,0
555,1,1,1,33,15,"4,00E+05",17,1,1,0
556,1,1,2,54,11,180000,10,1,0,0
557,1,1,2,56,9,"2,00E+05",12,1,0,0
558,3,1,2,55,7,226000,5,1,0,0
559,3,1,2,30,11,225000,12,1,0,0
560,3,1,2,24,7,"1,00E+05",8,1,0,0
561,3,1,2,55,9,240000,12,1,0,0
562,3,1,1,22,14,120000,15,1,0,0
563,1,1,2,49,11,565000,13,1,0,1
564,1,1,2,43,9,40000,12,1,0,0
